ticker,company_name,fundamental_score,sin_score_motivo,base_periodos,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,dist_ma50_pct,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,pe_eps_usado,pe_ancla,pe_sin_ancla_motivo,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,ai_descartados,piotroski_evaluables,piotroski_motivo,interest_coverage,interest_coverage_base,interest_coverage_ebit,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_fecha_conocida,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,pe_ancla_n,pe_ancla_dispersion,pe_ancla_fragil,dcf_no_aplicable,acciones_efectivas,per_share_no_fiable,pe_ancla_excluidos,shares_change_es_gasto,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,modelos_dispersion_pts,modelos_acuerdo,upside_triangulated_pct,upside_divergence_pts,upside_divergence,ai_verdict,ai_confidence,ai_reasoning,ai_verified,data_warning,verified_by,why_cheap,why_cheap_resumen,why_cheap_fuentes,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,rr_operativo,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason,tasa_base_frase,tasa_base_n,tasa_base_caida_mediana_pct,tasa_base_caida_peor_pct,tasa_base_arriba_pct,tasa_base_bimodal,soporte_frase,soporte_nivel,soporte_distancia_pct,soporte_dias,soporte_aguanto,soporte_roto,soporte_antiguo
AZN.L,AstraZeneca PLC,62.2,,trimestral,⭐⭐ GOOD,🟡 Good,GBp,USD,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000) y los estados van en USD mientras cotiza en GBP — puede ser un ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (6,044,000,000) se aparta del derivado de flujo operativo menos capex (4,441,376,565)",70.0,60.0,50.0,65.0,65.0,,,,,2.3,False,0,6.4,True,1,"{'eps_growth_yoy': 2.3, 'op_growth_yoy': -9.8, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 17.0, 'score_bruto_sin_capar': 70.0, 'satura': False}","{'revenue_growth_yoy': 6.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 22.0, 'debt_to_equity': 0.64, 'current_ratio': 0.89, 'operating_margin_pct': 23.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 28.4}",12430.0,192776355840,Healthcare,Drug Manufacturers - General,,,False,15732.0,-21.0,0,False,,15965.85,20630.24,11910.86,23,strong_buy,28.4,,,,,reportado,,,2.3,285.89,1.89,47.4,239.0,2.06,False,,,9,,8.0,Operating Income,8.2,2.5,36.0,2026-10-30,False,True,False,8,STRONG,6.05,90.6,5.81,24.1,,,,2026-09-24T05:19:05.216033,FTSE100,,,,"el capex se lleva el 57% del flujo operativo: lo que queda no es lo que gana el dueño, es lo que sobra tras decidir invertir",,"acciones × precio no cuadra con la capitalización (ratio 100.0000) y los estados van en USD mientras cotiza en GBP — puede ser un ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables; FCF declarado (6,044,000,000) se aparta del derivado de flujo operativo menos capex (4,441,376,565)",,,65.9,0.0,5.0,0.0,1.0,3.55,15.0,CONFIRMED_UPTREND,,,,,,BUY,92,"Upside of ~28% is realistic, fundamentals are strong (ROE 22%, net margin 17%, debt/equity 0.64) and validated by 23 analysts; no red flags detected.",True,"Groq dudaba de current_price, pero la fuente lo confirma (12428.00 publicado vs 12136.00 real (2.4% de desvío))",groq,EVENTO,Caída causada por fracaso de conversaciones de fusión con Bristol-Myers Squibb (agosto 2026) y fallos en ensayos clínicos (Ultomiris no cumplió objetivo principal). Los resultados Q2 superaron expectativas y guidance se mantiene; negocio operativo aguanta.,https://www.bloomberglinea.com/quote/AZN:UN/ | https://www.rava.com/perfil/AZN | https://theofficer.es/las-acciones-de-astrazeneca-se-desploman-688-y-cierran-en-15797-dolares/ | https://theofficer.es/las-acciones-de-astrazeneca-bajan-194-y-cierran-en-17875-dolares/,11783.04,11320.96,15965.85,3.92,35.5,"CAUTION - Already above entry point, wait for pullback",9.05,False,1,0.666,False,-19.44,28.11,-19.22,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 17 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 6% de mediana (peor caso -17%); al año el 82% estaba en positivo (mediana +18%).",17,-6.1,-16.6,82,False,"soporte vivo más cercano en 12639.16 (-0.3%), puesto a prueba hace 54 días; aguantó 3 y se rompió 1",12639.16,-0.3,54,3,1,False
PGHN.SW,Partners Group Holding AG,71.5,,anual,⭐⭐⭐ EXCELLENT,🟢 Excellent,CHF,CHF,False,True,True,1.0,,85.0,90.0,30.0,80.0,55.0,,,,,11.8,False,0,21.9,True,2,"{'eps_growth_yoy': 11.8, 'op_growth_yoy': 17.8, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 48.0, 'score_bruto_sin_capar': 85.0, 'satura': False}","{'revenue_growth_yoy': 21.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -8.8, 'rs_6m': -38.2}","{'roe_pct': 75.4, 'debt_to_equity': 1.93, 'current_ratio': 1.06, 'operating_margin_pct': 59.4}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 26.8}",624.4,16084459520,Financial Services,Asset Management,,,False,1097.5,-43.1,0,False,-9.2,791.79,940.0,680.0,14,hold,26.8,,,1042.98,67.0,reportado,múltiplo propio,,11.93,74.49,7.4,100.4,46.0,3.64,,,,9,,,,,-4.8,,,False,False,False,7,NEUTRAL,8.23,74.3,,31.7,,,,2026-09-24T05:17:33.883306,SMI20,4.0,0.45,False,"Asset Management: el flujo operativo son depósitos, préstamos o primas, no caja libre para el accionista",,,,,54.6,8.0,-2.0,0.0,0.0,3.35,0.0,CONFIRMED_UPTREND,,,46.9,-40.2,,BUY,92,"Upside of ~27% is realistic, fundamentals are excellent (ROE 75.4%, net margin 48%, Debt/Equity 1.93) and growth is strong (21.9%). Analyst coverage is robust (14 analysts) with no red flags, supporting a buy recommendation.",True,,groq,,,,621.59,597.21,791.79,3.92,27.38,BUY NOW - At target entry price,6.98,False,0,0.912,False,-40.04,2.46,-31.74,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 8 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -30% — sin término medio; al año el 75% estaba en positivo (mediana +29%).",8,-9.3,-30.4,75,True,"el soporte más cercano está en 609.40 (-2.4%), puesto a prueba hace 8 días; nunca llegó a resolverse",609.4,-2.4,8,0,0,False
NOVO-B.CO,Novo Nordisk A/S,55.0,,trimestral,⭐ AVERAGE,🟡 Average,DKK,DKK,False,True,True,0.7567,"acciones × precio no cuadra (ratio 0.7567) pero la divisa sí: son clases múltiples. Se usan 4,418 M de acciones efectivas (capitalización ÷ precio) en vez de las 3,343 M declaradas",55.0,50.0,50.0,70.0,55.0,,,,,-20.8,False,0,2.1,False,0,"{'eps_growth_yoy': -20.8, 'op_growth_yoy': -19.1, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3, 'score_bruto_sin_capar': 55.0, 'satura': False}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 59.8, 'debt_to_equity': 0.63, 'current_ratio': 0.87, 'operating_margin_pct': 42.5}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 21.9}",252.25,1114409009152,Healthcare,Drug Manufacturers - General,,,False,409.95,-38.5,0,False,,307.56,457.0,203.0,23,hold,21.9,,,,,reportado,múltiplo propio,"objetivo 787 sobre un precio de 252 (+212%): el BPA no cuadra con el múltiplo histórico, no se publica",3.75,9.46,4.52,44.6,11.7,1.93,False,-0.24,,9,,25.6,Operating Income,26.9,-8.2,41.0,2026-11-04,False,True,False,5,NEUTRAL,10.53,61.3,,35.0,,,,2026-09-24T05:17:27.256420,OMXCPH,4.0,0.71,False,"el capex se lleva el 68% del flujo operativo: lo que queda no es lo que gana el dueño, es lo que sobra tras decidir invertir",4417875160.0,,,,53.0,3.0,8.0,0.0,0.0,2.74,0.0,CONFIRMED_UPTREND,,,,,,BUY,92,"Upside is realistic, fundamentals are excellent (ROE 59.8%, net margin 35.3%, debt/equity 0.63) and supported by 23 analysts; no red flags detected.",True,,groq,,,,260.51,250.29,307.56,3.92,18.06,"CAUTION - Already above entry point, wait for pullback",4.6,False,1,0.94,False,-33.86,20.91,2.99,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 7 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -54% — sin término medio; al año el 43% estaba en positivo (mediana -13%).",7,-35.0,-53.5,43,True,"soporte vivo más cercano en 254.76 (-1.6%), puesto a prueba hace 1 días; aguantó 1 de 1 veces",254.76,-1.6,1,1,0,False
AUTO.L,Autotrader Group plc,64.0,,anual,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,True,100.0,acciones × precio no cuadra (ratio 100.0000) pero la divisa sí: son clases múltiples. Se usan 8 M de acciones efectivas (capitalización ÷ precio) en vez de las 771 M declaradas,75.0,50.0,50.0,90.0,55.0,,,,,4.0,False,0,3.9,False,0,"{'eps_growth_yoy': 4.0, 'op_growth_yoy': 4.1, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 47.1, 'score_bruto_sin_capar': 75.0, 'satura': False}","{'revenue_growth_yoy': 3.9, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 19.7}",468.1,3610975232,Communication Services,Internet Content & Information,,,False,828.8,-43.5,0,False,,560.16,800.0,410.0,19,hold,19.7,88351.0,18774.4,,,reportado,,sin histórico de múltiplo (beneficio negativo o pocos años),8.18,38.29,2.4,32.0,12.0,1.38,,,,8,,,,,2.0,42.0,2026-11-05,False,True,False,5,NEUTRAL,9.74,328.2,2.1,31.1,,,,2026-09-24T05:18:07.169391,FTSE100,,,,,7714111.0,,,,59.6,8.0,5.0,0.0,1.0,2.46,0.0,CONFIRMED_UPTREND,,,,,,BUY,90,"Strong ROE, high net margin, low debt, and realistic ~20% upside validated by many analysts indicate a solid buy.",True,,groq,,,,491.03,471.77,560.16,3.92,14.08,"CAUTION - Already above entry point, wait for pullback",3.59,False,1,1.022,False,-41.58,15.66,-5.68,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 17% de mediana (peor caso -47%); al año el 62% estaba en positivo (mediana +5%).",13,-16.8,-47.4,62,False,"soporte vivo más cercano en 478.48 (-1.2%), puesto a prueba hace 0 días; aguantó 6 y se rompió 3",478.48,-1.2,0,6,3,False
SAP.DE,SAP SE,73.0,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,50.0,90.0,60.0,,,,,28.5,False,0,9.4,True,1,"{'eps_growth_yoy': 28.5, 'op_growth_yoy': 7.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4, 'score_bruto_sin_capar': 95.0, 'satura': False}","{'revenue_growth_yoy': 9.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 12.5}",186.46,215212933120,Technology,Software - Application,,,False,244.3,-23.7,0,False,,209.81,290.0,160.0,26,strong_buy,12.5,164.74,-11.6,224.22,20.3,reportado,múltiplo propio,,4.05,7.55,1.37,37.4,2.5,1.46,True,-1.61,,9,,18.2,Operating Income,20.7,30.6,27.0,2026-10-21,False,True,False,8,STRONG,4.49,131.1,0.73,36.1,,,,2026-09-24T05:18:13.639505,DAX40,3.0,0.63,True,,,,2024-12-31,,72.2,3.0,0.0,3.0,5.0,1.56,15.0,CONFIRMED_UPTREND,31.9,CONTRADICEN,,24.1,MEDIA,BUY,85,"Upside is modest and realistic, fundamentals are strong (high ROE, solid net margin, low leverage), and the target price is supported by a broad analyst consensus (26 analysts). No red flags are present.",True,,groq,,,,175.6,168.72,209.81,3.92,19.48,"CAUTION - Already above entry point, wait for pullback",4.97,False,2,0.983,False,-24.1,43.0,17.21,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 10 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 10% de mediana (peor caso -30%); al año el 60% estaba en positivo (mediana +6%).",10,-10.2,-30.0,60,False,"soporte vivo más cercano en 175.81 (-3.6%), puesto a prueba hace 12 días; aguantó 2 de 2 veces",175.81,-3.6,12,2,0,False
OR.PA,L'Oréal S.A.,54.0,,anual,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,50.0,50.0,50.0,70.0,60.0,,,,,-4.4,False,0,1.3,False,0,"{'eps_growth_yoy': -4.4, 'op_growth_yoy': 2.4, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 13.9, 'score_bruto_sin_capar': 50.0, 'satura': False}","{'revenue_growth_yoy': 1.3, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 19.4, 'debt_to_equity': 0.49, 'current_ratio': 0.97, 'operating_margin_pct': 21.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.8}",380.5,202673258496,Consumer Defensive,Household & Personal Products,,,False,405.8,-6.2,0,False,,417.75,460.0,340.0,24,buy,9.8,248.65,-34.7,357.61,-6.0,reportado,múltiplo propio,,3.7,14.08,1.85,61.1,7.2,1.56,,,,9,,,,,3.8,138.0,2027-02-09,False,True,False,6,NEUTRAL,4.13,70.0,4.73,19.0,,,,2026-09-24T05:17:13.872937,CAC40,4.0,0.32,False,,,,,,36.6,3.0,5.0,0.0,1.0,1.23,0.0,CONFIRMED_UPTREND,28.7,DISPERSOS,-6.0,30.2,MEDIA,BUY,85,"Upside is modest and realistic; strong ROE, healthy net margin, low leverage; ample analyst coverage supports target; no red flags detected.",True,,groq,,,,380.41,365.49,417.75,3.92,9.82,"CAUTION - Already above entry point, wait for pullback",2.5,False,2,0.989,False,-2.87,17.21,2.21,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 45 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 7% de mediana (peor caso -29%); al año el 76% estaba en positivo (mediana +14%).",45,-7.2,-29.4,76,False,"soporte vivo más cercano en 372.26 (-4.4%), puesto a prueba hace 7 días; aguantó 10 y se rompió 4",372.26,-4.4,7,10,4,False
GIVN.SW,Givaudan SA,56.8,,anual,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,"FCF declarado (605,625,024) se aparta del derivado de flujo operativo menos capex (1,143,000,000)",50.0,50.0,64.0,70.0,60.0,,,,,-1.7,False,0,0.8,False,0,"{'eps_growth_yoy': -1.7, 'op_growth_yoy': -2.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 12.9, 'score_bruto_sin_capar': 50.0, 'satura': False}","{'revenue_growth_yoy': 0.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -4.6, 'rs_6m': 11.2}","{'roe_pct': 22.3, 'debt_to_equity': 1.11, 'current_ratio': 1.29, 'operating_margin_pct': 18.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 1.0}",3419.0,31561873408,Basic Materials,Specialty Chemicals,,,False,3592.0,-4.8,7,True,4.1,3454.45,4010.6,2886.0,19,buy,1.0,2487.55,-27.2,3053.76,-10.7,reportado,múltiplo propio,,3.62,123.77,2.08,70.1,72.0,1.96,,,,9,,,,,-14.0,125.0,2027-01-27,False,True,False,7,NEUTRAL,3.8,33.7,,26.2,,,,2026-09-24T05:17:20.538060,SMI20,4.0,0.25,False,,,,,,36.7,3.0,5.0,0.0,-3.0,0.12,0.0,CONFIRMED_UPTREND,16.5,COHERENTES,-10.7,20.0,,BUY,85,"Upside is modest but realistic; strong ROE, healthy net margin, low leverage, and broad analyst coverage support a buy recommendation despite low growth.",True,,groq,,,,3453.19,3176.93,,8.0,,BUY NOW - At target entry price,,True,3,0.96,False,-3.61,33.24,17.7,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 45 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 7% de mediana (peor caso -36%); al año el 78% estaba en positivo (mediana +17%).",45,-6.8,-36.3,78,False,"soporte vivo más cercano en 3356.50 (-1.8%), puesto a prueba hace 76 días; aguantó 1 y se rompió 3",3356.5,-1.8,76,1,3,False
STMN.SW,Straumann Holding AG,59.5,,anual,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,"FCF declarado (399,016,384) se aparta del derivado de flujo operativo menos capex (299,766,008)",50.0,50.0,56.0,95.0,65.0,,,,,-22.1,False,0,4.1,False,0,"{'eps_growth_yoy': -22.1, 'op_growth_yoy': -8.6, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.0, 'score_bruto_sin_capar': 50.0, 'satura': False}","{'revenue_growth_yoy': 4.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -13.8, 'rs_6m': 0.9}","{'roe_pct': 17.0, 'debt_to_equity': 0.21, 'current_ratio': 2.26, 'operating_margin_pct': 25.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.2}",97.22,15501806592,Healthcare,Medical Instruments & Supplies,,,False,109.8,-11.5,4,False,-0.4,113.0,136.0,86.0,19,buy,16.2,24.99,-74.3,95.77,-1.5,reportado,múltiplo propio,,1.93,1.88,1.02,43.3,1.0,0.71,,,,9,,,,,5.8,34.0,2026-10-28,False,True,False,6,NEUTRAL,3.54,33.6,4.37,20.1,,,,2026-09-24T05:17:38.326930,SMI20,3.0,1.16,True,,,,,,40.8,0.0,0.0,0.0,3.0,2.02,0.0,CONFIRMED_UPTREND,72.8,DISPERSOS,-1.5,54.1,ALTA,BUY,85,"Upside target is modest and realistic, fundamentals exceed quality thresholds (ROE 17%, net margin 14%, low debt/equity 0.21), and the recommendation is supported by a broad analyst consensus (19 analysts). No red flags are present.",True,,groq,,,,95.28,90.06,,5.47,,BUY ON PULLBACK - Wait for 2-5% dip,,False,1,0.847,False,-11.46,34.62,7.45,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 8 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 14% de mediana (peor caso -29%); al año el 62% estaba en positivo (mediana +20%).",8,-13.5,-29.4,62,False,"soporte vivo más cercano en 95.19 (-2.1%), puesto a prueba hace 34 días; aguantó 4 y se rompió 5",95.19,-2.1,34,4,5,False
SAF.PA,Safran SA,61.0,,anual,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,"FCF declarado (3,562,749,952) se aparta del derivado de flujo operativo menos capex (4,895,000,064)",65.0,60.0,50.0,70.0,60.0,,,,,,True,1,12.5,False,0,"{'positive_quarters': 2, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 11.6, 'score_bruto_sin_capar': 65.0, 'satura': False}","{'revenue_growth_yoy': 12.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 27.5, 'debt_to_equity': 0.34, 'current_ratio': 0.92, 'operating_margin_pct': 14.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.9}",336.0,139230265344,Industrials,Aerospace & Defense,,,False,366.5,-8.3,0,False,,382.86,460.0,257.0,22,buy,13.9,261.46,-22.2,,,reportado,,sin histórico de múltiplo (beneficio negativo o pocos años),3.52,11.83,1.01,36.0,3.35,0.78,,,,9,,,,,-65.1,138.0,2027-02-09,False,True,False,7,NEUTRAL,3.32,73.4,,26.8,,,,2026-09-24T05:17:47.415064,CAC40,,,,,,,,,41.4,3.0,0.0,0.0,-3.0,1.74,0.0,CONFIRMED_UPTREND,,,-4.1,36.1,MEDIA,BUY,85,"Upside is modest and realistic; ROE, net margin and low debt indicate strong fundamentals; ample analyst coverage supports the target price; no red flags detected.",True,,groq,,,,325.28,312.52,382.86,3.92,17.7,"CAUTION - Already above entry point, wait for pullback",4.51,False,2,1.042,False,-9.41,27.85,8.2,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 46 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 7% de mediana (peor caso -64%); al año el 74% estaba en positivo (mediana +26%).",46,-7.2,-64.0,74,False,"soporte vivo más cercano en 328.00 (-1.2%), puesto a prueba hace 21 días; aguantó 3 y se rompió 1",328.0,-1.2,21,3,1,False
ABBN.SW,ABB Ltd,73.2,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,CHF,USD,True,True,True,1.0,,80.0,80.0,56.0,80.0,60.0,,,,,14.8,False,0,28.4,True,1,"{'eps_growth_yoy': 14.8, 'op_growth_yoy': 32.1, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.1, 'score_bruto_sin_capar': 80.0, 'satura': False}","{'revenue_growth_yoy': 28.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -8.4, 'rs_6m': 5.5}","{'roe_pct': 32.6, 'debt_to_equity': 0.56, 'current_ratio': 1.43, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 1.6}",82.42,149243101184,Industrials,Electrical Equipment & Parts,,,False,89.14,-7.5,7,True,3.2,83.72,96.71,68.31,24,strong_buy,1.6,35.83,-56.5,46.88,-43.1,reportado,múltiplo propio,,2.59,2.13,1.13,43.2,0.94,2.13,True,-1.25,,9,,105.6,Operating Income,115.6,8.2,26.0,2026-10-20,False,True,False,7,NEUTRAL,3.73,39.2,3.42,28.0,,,,2026-09-24T05:19:14.077316,SMI20,4.0,0.24,False,,,,,,44.3,0.0,0.0,3.0,3.0,0.2,0.0,CONFIRMED_UPTREND,13.4,COHERENTES,-43.1,51.4,ALTA,BUY,85,"Strong ROE, healthy margin, low debt, high growth and solid analyst coverage make the modest 1.6% upside realistic, supporting a buy recommendation.",True,"Groq dudaba de current_price, pero la fuente lo confirma (82.42 publicado vs 82.42 real (0.0% de desvío))",groq,,,,80.77,74.31,,8.0,,BUY ON PULLBACK - Wait for 2-5% dip,,True,3,0.964,False,-7.54,55.52,11.96,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado,"las 39 veces anteriores (RSI normal, sobre su MA200 que sube) o paró casi donde estaba o se desplomó hasta -37% — sin término medio; al año el 77% estaba en positivo (mediana +14%).",39,-7.9,-36.7,77,True,"soporte vivo más cercano en 81.50 (-1.1%), puesto a prueba hace 72 días; aguantó 4 de 4 veces",81.5,-1.1,72,4,0,False
